X,Y,Name,description,drawOrder
-55.5350706,-30.9035906,PEV Cerro Marconi,Punto de entrega voluntaria en viviendas del cerro Marconi,
-55.5440378,-30.9040806,PEV Ancap,Punto de entrega voluntaria Ancap Plaza Flores,
-55.5472484,-30.9086222,PEV Corralón,Punto de entrega voluntaria en oficinas de DMA,
-55.5443197,-30.905936,PEV Ta Ta,,
-55.5238863,-30.9001065,PEV Siñeriz Free Shop,,
-55.5447484,-30.8990645,PEV Liceo 1 Celia Pomoli,,
-55.5443164,-30.9012582,PEV Liceo 6 Carmen Andrés,,
-55.5360727,-30.8995899,PEV escuela 8 / 140,,
-55.5747988,-30.9206556,PEV Liceo 4,,
-55.532926,-30.9379847,Centro de acopio de Rivera,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3AEDAZkrN5ZEDLtKKTJd0WxVp-NSw718IDtoo6IAL7SGQg3iDRX4zligPFPVPGjNzLfcwyNXJlIHM-K8puI6StEFi4OHOYVvLvOHX2rjZqsETQXCQfMouOIhJ5iq8MQg1ywmaIcCxpX9qrr3xwsOx1uPyYAFT8tpRTK9XhoqsEEFthUxXqFzjWcEpaJY4OGpruEuPnHS1iJmdABqDYQ?authuser=0&fife=s16383"" height=""200"" width=""auto"" /><br><br>Centro de acopio del PGE ubicado en el vertedero municipal.",
-55.54722,-30.9308824,PEV CUR,PEV en Centro Universitario de Rivera,
-55.5383567,-30.9008312,Colegio Teresiano de Rivera,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3AEDAZkomCI3cax5lDcmo7zml8D_cj7LcvS_5YfMFou-6pctxIhKDZXZiui99miTdqQNvTFxUN6MnqR6c5da1bbHlZObWmg7MXDwTWiLpyFSzaNd_T25ZX5Lc9x0oxw9_zQ1RNz6pirfILpWIcpiz31by1WNAVvjM0khRFMv59zN8Nkx3VqyYcgsb40NcKasnpxFb-_GypCorBg1jdf7yDzKbW2tXlgyPeXR4aXNzlba-k0WCAMJAPCJk-RqP4eiAtw?authuser=0&fife=s16383"" height=""200"" width=""auto"" /><br><br>PEV en colegio Teresiano",
